NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1629066642,18THMEDCOM,"121GENERAL HOSPITAL, BOX709, APO, AP 96205",01182279166027,Military General Acute Care Hospital,Military Hospital,Hospitals,,
1730178229,"18TH MEDCOM, DCSFHP-OHS","121ST GENERAL HOSPITAL. BOX#567, APO, AP 96205",3157366692,Military Hospital,Military Hospital,Hospitals,,
1376532861,FORCE HEALTH PROTECTION 18TH MEDBN,"A CO 168TH MED BN(AS), UNIT# 15342, APO, AP 96258",3107327059,Military Hospital,Military Hospital,Hospitals,,
1295724409,18TH MEDCOM,"18TH MEDCOM UNIT # 15281, APO, AP 96205",3157363025,Occupational Medicine Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1508856212,"DCSFHP, OHS, 18TH MEDCOM","168TH MED BN UNIT 15021, BOX 10-B, APO, AP 96218",01182537645567,Military/U.S. Coast Guard Outpatient Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1396729067,RONALD T PURCELL,"USNH YOKOSUKA JAPAN, PCS 475 BOX 1, FPO, AP 96350",0118146816,Military General Acute Care Hospital,Military Hospital,Hospitals,35.2866712,139.6714157
1396722955,35TH MEDGRP-MISAWA,"35 MDSS SGSR, UNIT 5024 ATTN MEDICAL SERVICE ACCOUNTS, APO, AP 96319",3152266250,Military Hospital,Military Hospital,Hospitals,,
1770556284,51 MDOS,"51 MDOS, PSC 3 BOX 2652, APO, AP 96266",3158747473,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1740253459,"U.S. NAVAL HOSPITAL, OKINAWA JAPAN","PSC 482, POB 2903, FPO, AP 96362",0906437714,Internal Medicine Physician,Internal Medicine,Allopathic & Osteopathic Physicians,,
1326015652,USS ESSEX,"USS ESSEX (LHD 2), FPO, AP 96643",810956503365,Independent Duty Corpsman,Military Health Care Provider,Other Service Providers,,
1679540900,36TH MEDGRP-MARIANAS GUAM,"UNIT 14010, APO, AP 96543",6713666315,Military/U.S. Coast Guard Outpatient Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1104893437,U.S. NAVAL HOSPITAL YOKOSUKA,"PSC 475 BOX 1, FPO, AP 96350",0113468,Military Hospital,Military Hospital,Hospitals,,
1477513125,374TH MEDGRP-YOKOTA,"UNIT 5225, APO, AP 96328",011813117558302,Military and U.S. Coast Guard Ambulatory Procedure Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,,
1134180185,51ST MEDGRP-OSAN,"RESOURCE MANAGMENT, UNIT 2060, APO, AP 96278",01182316614194,Military General Acute Care Hospital,Military Hospital,Hospitals,,
1912956558,NH YOKOSUKA,"PSC 475 BX 1, FPO, AP 96350",6713447022,Military General Acute Care Hospital,Military Hospital,Hospitals,,
1144269564,NH OKINAWA,"PSC 482, FPO, AP 96362",2512922775,Military General Acute Care Hospital,Military Hospital,Hospitals,,
1306943162,NH YOKOSUKA,"PSC 466, BLDG 151, FPO, AP 96595",2463704211,Military/U.S. Coast Guard Pharmacy,Military/U.S. Coast Guard Pharmacy,Suppliers,,
1215034079,KWAJALEIN PHCY,"1702 6TH STREET BLDG 603, APO, AP 96555",8053552220,Military/U.S. Coast Guard Pharmacy,Military/U.S. Coast Guard Pharmacy,Suppliers,,
1831289487,ACH BRIAN D ALLGOOD-PYEONGTAEK,"BLDG 1663, APO, AP 96205",3157377984,Military/U.S. Coast Guard Pharmacy,Military/U.S. Coast Guard Pharmacy,Suppliers,,
1437236817,AHC BG CRAWFORD F SAMS-CAMP ZAMA,"UNIT 45011, JAPAN, APO, AP 96338",01181464074127,Military/U.S. Coast Guard Outpatient Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,36.204824,138.252924
1053480137,NH OKINAWA,"PSC 482 BOX 1600, FPO, AP 96362",2404013643,Military/U.S. Coast Guard Pharmacy,Military/U.S. Coast Guard Pharmacy,Suppliers,,
1093884181,NH YOKOSUKA,"PSC 475, FPO, AP 96350",2404013643,Military/U.S. Coast Guard Pharmacy,Military/U.S. Coast Guard Pharmacy,Suppliers,,
