NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1740283977,REGIONAL MEDICAL CENTER AT LUBEC,"43 S LUBEC RD, LUBEC, ME 04652",2077331090,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,44.846462092574,-66.998725953061
1932102118,COASTAL MED TECH INC,"25 DOUGLAS HWY, ELLSWORTH, ME 04605",8005441113,Oxygen Equipment & Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,44.526226105099,-68.388030701874
1386647592,"PROFESSIONAL HOME NURSING, INC","7 HATCH DR, SUITE 110, CARIBOU, ME 04736",2074983915,Home Health Agency,Home Health,Agencies,46.859819100157,-68.015887113323
1922001049,CALAIS COMMUNITY HOSPITAL,"24 HOSPITAL LN, CALAIS, ME 04619",2074547521,Critical Access Hospital,General Acute Care Hospital,Hospitals,45.177962475917,-67.267037054374
1134122997,YARMOUTH AUDIOLOGY,"163 MAIN ST, YARMOUTH, ME 04096",2078461380,Audiologist-Hearing Aid Fitter,Audiologist-Hearing Aid Fitter,"Speech, Language and Hearing Service Providers",43.800021066954,-70.185101286484
1114920097,CARIBOU NURSING HOME INC,"162 ACADEMY ST, PRESQUE ISLE, ME 04769",2077640145,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,46.676286852523,-67.996557739483
1376546143,CALAIS COMMUNITY HOSPITAL,"24 HOSPITAL LN, CALAIS, ME 04619",2074547521,Medicare Defined Swing Bed Hospital Unit,Medicare Defined Swing Bed Unit,Hospital Units,45.177962475917,-67.267037054374
1811990757,COASTAL MANOR CORPORATION,"20 W MAIN ST, YARMOUTH, ME 04096",2078465013,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,43.803973957224,-70.194659320433
1568465144,NORTHERN MAINE MEDICAL CENTER,"194 EAST MAIN STREET, FORT KENT, ME 04743",2078343155,General Acute Care Hospital,General Acute Care Hospital,Hospitals,47.265147344785,-68.591226769289
1760485304,PARKVIEW ADVENTIST MEDICAL CENTER,"329 MAINE ST, BRUNSWICK, ME 04011",2073732000,General Acute Care Hospital,General Acute Care Hospital,Hospitals,43.896134005313,-69.969783212758
1689677023,"EZ DIABETIC SUPPLIES, INC.","61 STATE RD, WEST BATH, ME 04530",2073861080,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,43.904549453036,-69.837482857415
1245232347,"ANDROSCOGGIN HOME HEALTH SERVICES, INC.","15 STRAWBERRY AVE, LEWISTON, ME 04240",2077777740,Nursing Care Agency,Nursing Care,Agencies,44.115632492532,-70.207358899487
1679575773,"SOUTH PORTLAND NURSING HOME, INC","42 ANTHOINE ST, SOUTH PORTLAND, ME 04106",2077998561,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,43.632042356,-70.257845933563
1538163100,"RADIOLOGY SPECIALISTS OF MAINE, PA","329 MAINE ST, BRUNSWICK, ME 04011",2073732252,Diagnostic Radiology Physician,Radiology,Allopathic & Osteopathic Physicians,43.896134005313,-69.969783212758
1790789147,EASTERN MAINE MEDICAL CENTER,"489 STATE ST, BANGOR, ME 04401",2079737000,General Acute Care Hospital,General Acute Care Hospital,Hospitals,44.809980083212,-68.749456400244
1750385126,"PENBAY X-RAY ASSOCIATES, PA","6 GLEN COVE DR, ROCKPORT, ME 04856",2075968000,Diagnostic Radiology Physician,Radiology,Allopathic & Osteopathic Physicians,44.144569385195,-69.083540073913
1578567988,"GREENWOOD NURSING CARE CENTER, INC","1142 MAIN ST, SANFORD, ME 04073",2073242273,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,43.424696406558,-70.762356273092
1073518320,"NEW ENGLAND BRACE CO., INC.","217 MAIN ST, LEWISTON, ME 04240",2077860101,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,44.099563815355,-70.216892401573
1992700132,"WOLF EYE ASSOCIATES, P.A.","249 MAIN ST, LEWISTON, ME 04240",2077839653,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,44.10000158361,-70.216116085277
1285639393,CITY OF SANFORD,"972 MAIN ST, SANFORD, ME 04073",2073249160,Ambulance,Ambulance,Transportation Services,43.435049442111,-70.77226259584
1700881638,PORTLAND ORTHOPAEDIC FOOT AND ANKLE CENTER,"254 WESTERN AVE, SOUTH PORTLAND, ME 04106",2077743338,Orthopaedic Foot and Ankle Surgery Physician,Orthopaedic Surgery,Allopathic & Osteopathic Physicians,43.637662609296,-70.323376700874
1417952318,"PORTLAND FOOT & ANKLE, PA","68 MARGINAL WAY, 4TH FLOOR, PORTLAND, ME 04101",2078791339,Foot & Ankle Surgery Podiatrist,Podiatrist,Podiatric Medicine & Surgery Service Providers,43.660964571024,-70.266844922786
1952306524,ST. MARY'S REGIONAL MEDICAL CENTER,"102 CAMPUS AVE, LEWISTON, ME 04240",2077774250,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,44.101863023958,-70.198957781259
1134125446,"COASTAL ANESTHESIA, PA","50 UNION ST, ELLSWORTH, ME 04605",2076445356,Anesthesiology Physician,Anesthesiology,Allopathic & Osteopathic Physicians,44.547147040439,-68.415358901468
1699771964,"ALAN CHASTANET, PA, LLC","420 FRANKLIN ST, RUMFORD, ME 04276",2073644581,Diagnostic Radiology Physician,Radiology,Allopathic & Osteopathic Physicians,44.551525630944,-70.556818479163
1326044645,"VALLEY PHARMACY, INC DBA FARMINGTON MEDICAL SUPPLIES AND SERVICES","407 WILTON RD, SUITE 3, FARMINGTON, ME 04938",2077782520,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,44.64248,-70.1527922
