NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1093769739,"ST. JUDE RENAL CARE FACILITY, INC.","KULOT DI ROSA DR., CHALAN KIYA, SAIPAN HEALTH CLINIC BUILDING, SAIPAN, MP 96950",6702342901,End-Stage Renal Disease (ESRD) Treatment Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,15.1620743,145.7203498
1861434920,"PACIFIC MEDICAL CENTER, INC","PMC BUILDING, MIDDLE ROAD, GUALO RAI, SAIPAN, MP 96950",6702338100,Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,15.205773,145.720203
1134156763,HEALTH PROFESSIONAL CORPORATION,"KULOT DE ROSA DR., CHALAN KIYA, SAIPAN, MP 96950",6702342901,Health Service Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,15.1647872,145.7198431
1669403317,"TRI ENTERPRISES, INC.","BRI BLDG. KOPA DI ORU ST. GARAPAN, SUITE 104, SAIPAN, MP 96950",6716884421,Home Health Agency,Home Health,Agencies,15.2021832,145.7175207
1366467110,HEALTH PROFESSIONAL CORPORATION,"KULOT DE ROSA DR., CHALAN KIYA, POB 502878, SAIPAN, MP 96950",6702342901,Health Service Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,15.1647872,145.7198431
1336150838,"TAKECARE INSURANCE COMPANY, INC.","2ND FLOOR TSL PLAZA, GARAPAN, SAIPAN, MP 96950",6702346584,Managed Care Organization Pharmacy,Pharmacy,Suppliers,15.2057398,145.7170157
1144310723,MEDICAL ASSOCIATES OF THE PACIFIC LLC,"MARINA HEIGHTS BUSINESS PARK, SUITE 100, SAIPAN, MP 96950",6703239000,Internal Medicine Physician,Internal Medicine,Allopathic & Osteopathic Physicians,15.2163349,145.7298113
1174607485,"TRI ENTERPRISES, INC.","MIDDLE RD GUALO RAI, KIM'S BLDG SUITE 101, SAIPAN, MP 96950",6703222783,Home Health Agency,Home Health,Agencies,15.1926673,145.722375
1427136464,MARIANAS HEALTH SERVICES INC,"GHIYEGHI ST. SAN JOSE BLDG STE201, MARIANAS HEALTH LLC, SAIPAN, MP 96950",6702334646,Home Health Agency,Home Health,Agencies,15.1680389,145.7106396
1821159682,"TAKECARE INSURANCE CO, INC.","OLEAL BUSINESS CENTER 1ST FLR., STE. 108-112, SAN JOSE, MP 96950",6702351006,Health Maintenance Organization,Health Maintenance Organization,Managed Care Organizations,15.167406,145.7099153
1023168010,MARIANAS EYE INSTITUTE INC,"503900 MOOTY, 13 FISHERMEN BEACHROAD, GARAPAN, SAIPAN, MP 96950",6702359090,Optometrist,Optometrist,Eye and Vision Services Providers,15.196991,145.7169802
1497889752,PACIFIC HEALTH INC,"KAGMAN COMMERCIAL BUILDING, UNIT D, SAIPAN, MP 96950",6702356175,Pharmacy,Pharmacy,Suppliers,15.1734148,145.7669106
1477674869,PACIFIC HEALTH INC,"JOETEN DANDAN CENTER, MNSGR GUERRERO RD., DANDAN, SAIPAN, MP 96950",6702356174,Pharmacy,Pharmacy,Suppliers,15.1515819,145.7275733
1871616292,COMMONWEALTH HEALTHCARE CORPORATION,"1 LOWER NAVY HILL ROAD, SAIPAN, MP 96950",6702348950,General Acute Care Hospital,General Acute Care Hospital,Hospitals,15.2055797,145.7357726
1285858290,COMMONWEALTH HEALTHCARE CORPORATION,"1 LOWER NAVY HILL ROAD, SAIPAN, MP 96950",6702348950,End-Stage Renal Disease (ESRD) Treatment Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,15.2055797,145.7357726
1154537298,"MARIANAS HEALTH SERVICES, INC","GHIYEGHI ST. SAN JOSE BLDG STE102, MARIANAS HEALTH LLC, SAIPAN, MP 96950",6702334646,Physical Therapy Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,15.1680389,145.7106396
1801006531,"PSYCHOLOGICAL SERVICES, INC","5700 CHRB, SAIPAN, MP 96950",6703221925,Mental Health Clinic/Center (Including Community Mental Health Center),Clinic/Center,Ambulatory Health Care Facilities,15.1850483,145.7467259
1710198429,"MARIANAS HEALTH SERVICES, INC","CHALAN PALE ARNOLD GARAPAN, SAIPAN PLAZA BUILDING STE.7, SAIPAN, MP 96950",6702334646,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,15.2056618,145.7203969
1932397817,HARDT EYE CLINIC INC,"BOX 504768, SAIPAN, MP 96950",6702352030,Medical Specialty Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,15.1850483,145.7467259
1225219520,TRI CORPORATION,"BRI BUILDING KOPA DI ORU ST. GARAPAN,, SUITE 101, SAIPAN, MP 96950",6703222783,Oxygen Equipment & Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,15.2021832,145.7175207
