NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1447253521,"PIONEER HEALTH SERVICES OF NEWTON COUNTY, LLC","9421 EASTSIDE DRIVE EXTENTION, NEWTON, MS 39345",6016832031,Medicare Defined Swing Bed Hospital Unit,Medicare Defined Swing Bed Unit,Hospital Units,32.3574349,-89.1280345
1477556231,UNIVERSITY OPHTHALMOLOGY ASSOCIATES,"2500 N STATE ST, STE B329, JACKSON, MS 39216",6018153931,Ophthalmology Physician,Ophthalmology,Allopathic & Osteopathic Physicians,32.328769488409,-90.175559273059
1285637090,CUNNINGHAM PHYSICAL MEDICINE,"7601 SOUTHCREST PKWY, SOUTHAVEN, MS 38671",9012912400,Physical Medicine & Rehabilitation Physician,Physical Medicine & Rehabilitation,Allopathic & Osteopathic Physicians,34.971775245216,-89.996579849567
1265435010,SOUTHERN EYE CENTER P.A. II,"1420 S 28TH AVE, HATTIESBURG, MS 39402",6012643937,Medical Specialty Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,31.301371810403,-89.331116157956
1801899679,PIONEER HEALTH SERVICES OF NEWTON COUNTY,"9421 EASTSIDE DRIVE EXTENTION, NEWTON, MS 39345",6016832031,Rural Health Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,32.3574349,-89.1280345
1528061272,"NEWTON HOSPITAL, INC.","9421 EASTSIDE DRIVE EXTENTION, NEWTON, MS 39345",6016832031,Emergency Care Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,32.3574349,-89.1280345
1295738912,"MEDTECH, INC","207 N HARPER RD, CORINTH, MS 38834",6626659800,Oxygen Equipment & Supplies (DME),Durable Medical Equipment & Medical Supplies,Suppliers,34.936093008596,-88.496700412027
1588667281,COPIAH COUNTY MEDICAL CENTER,"27190 HIGHWAY 28, HAZLEHURST, MS 39083",6015747000,General Acute Care Hospital,General Acute Care Hospital,Hospitals,31.87127426189,-90.419977292757
1407859986,BYRONS DRUG STORE INC,"196 SGT S PRENTISS DR, UNIT B, NATCHEZ, MS 39120",6014428623,Pharmacy,Pharmacy,Suppliers,31.5291003,-91.4087203
1710980222,"ST. JOSEPH HOSPICE OF WEST MISSISSIPPI, LLC","120 SCARBROUGH ST STE C, RICHLAND, MS 39218",6019250418,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,32.213939086139,-90.156205026237
1487657995,"HMP PHARMACEUTICALS, LLC","2381 E PASS RD STE B, GULFPORT, MS 39507",2288961873,Mail Order Pharmacy,Pharmacy,Suppliers,30.400569157912,-89.004210746703
1104829597,HOGAN SURGICAL CENTER PA,"351 COWAN RD, GULFPORT, MS 39507",2288961120,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,30.388088969537,-89.027039044002
