NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1053314237,"INTEGRATED CONCEPTS, INC","3807 ACADEMY PARKWAY S NE, ALBUQUERQUE, NM 87109",5053459299,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,35.156043218352,-106.601966709125
1316940216,PROFESSIONAL HOME HEALTH CARE DE SANTA FE Y LOS ALAMOS,"10 CALLE MEDICO, SANTA FE, NM 87505",5059828581,Home Health Agency,Home Health,Agencies,35.65768299618,-105.941092413851
1912900754,ANESTHESIA ASSOCIATES OF NEW MEXICO P C,"1100 CENTRAL AVE SE, ALBUQUERQUE, NM 87106",5058411234,Specialist,Specialist,Other Service Providers,35.082314106333,-106.634945215281
1053314831,"LAS CLINICAS DEL NORTE, INCORPORATED","HIGHWAY 571 #28, EL RITO, NM 87530",5755814728,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,36.3306846,-106.1853719
1114920717,SAN MIGUEL CLINIC CORP,"108 LEGION DR STE A, LAS VEGAS, NM 87701",5054549499,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,35.6188908,-105.219915
1427051002,CLAYTON HEALTH SYSTEMS INC,"300 WILSON STREET, CLAYTON, NM 88415",5753742585,Critical Access Hospital,General Acute Care Hospital,Hospitals,36.455083374858,-103.193267584999
1316940026,SANTA FE COUNTY,"35 CAMINO JUSTICIA, SANTA FE, NM 87508",5059923071,Land Ambulance,Ambulance,Transportation Services,35.563674598677,-106.051637565537
1568465052,"J&J HOME CARE, INC.","1301 W GRAND AVE, ARTESIA, NM 88210",5757462892,Home Health Agency,Home Health,Agencies,32.838867299519,-104.412784835183
1235132820,SIERRA HEALTH CARE INC,"1400 N SILVER ST, TRUTH OR CONSEQUENCES, NM 87901",5758947855,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,33.14437897772,-107.237955152167
1467455766,"CLAYTON HEALTH SYSTEMS, INC","300 WILSON ST, CLAYTON, NM 88415",5753742585,Home Health Agency,Home Health,Agencies,36.455083374858,-103.193267584999
1487657862,FILLMORE EYE CLINIC INCORPORATED,"1124 10TH ST, ALAMOGORDO, NM 88310",5754341200,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,32.899788362344,-105.948546723554
1013910348,BASIN HOME HEALTH INC.,"200 N ORCHARD AVE, FARMINGTON, NM 87401",5053258231,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,36.730345900026,-108.205237557773
1396748661,ZUNI HOME HEALTH CARE AGENCY,"301 N ROUTE, BLDG #52, ZUNI, NM 87327",5057825544,Home Health Agency,Home Health,Agencies,35.0694767,-108.8484168
1912900259,ALLERGY & ASTHMA CENTER OF THE SOUTHWEST,"1141 MALL DR, STE B, LAS CRUCES, NM 88011",5755222400,Allergy & Immunology Physician,Allergy & Immunology,Allopathic & Osteopathic Physicians,32.306008782954,-106.742954279843
1346242575,"NEW MEXICO HEART INSTITUTE, LLC","502 ELM ST. NE, ALBUQUERQUE, NM 87102",5058411000,Cardiovascular Disease Physician,Internal Medicine,Allopathic & Osteopathic Physicians,35.087283956525,-106.637687015688
1780686907,ZUNI MEDICAL SUPPLY ENTERPRISE,"BUILDING 52 ROUTE 301 NORTH, ZUNI, NM 87327",5057822434,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,35.084973635231,-108.789115769574
1073517058,ROOSEVELT COUNTY SPECIAL HOSPITAL DISTRICT,"42121 US HIGHWAY 70, PORTALES, NM 88130",5753591800,General Acute Care Hospital,General Acute Care Hospital,Hospitals,34.169303778998,-103.363083367178
1548264351,"PREMIER ANESTHESIA OF NEW MEXICO, LLP","1720 WYOMING BLVD NE, ALBUQUERQUE, NM 87112",5052929200,Anesthesiology Physician,Anesthesiology,Allopathic & Osteopathic Physicians,35.100836598408,-106.550712124729
1679578066,"REHABILITATION HOSPITAL OF SOUTHERN NEW MEXICO, INC","4441 E LOHMAN AVE, LAS CRUCES, NM 88011",5055216400,Rehabilitation Hospital,Rehabilitation Hospital,Hospitals,32.324612846995,-106.724747749958
1215932587,"MOUNTAIN HOME HEALTH CARE, INC.","630 PASEO DEL PUEBLO SUR, # 180, TAOS, NM 87571",5057581024,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,36.396129315739,-105.579142914444
