NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1912900150,WEST MEDICAL EQUIPMENT,"111 CALLE DOMENECH, ISABELA, PR 00662",7878303420,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,18.501222891814,-67.024934990101
1932102167,P.R. CLINICAL REFERENCE LABORATORY INC,"CALLE JJ ACOSTA NO 46, VEGA BAJA, PR 00693",7879667108,Clinical Medical Laboratory,Clinical Medical Laboratory,Laboratories,18.4207207,-66.40334229999999
1770586992,ORTHO MEDIC INC,"1432 AVE MUNOZ RIVERA, PONCE, PR 00717",7878430648,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,18.0030503,-66.6210071
1710980925,MD RADIOLOGY SERVICES PSC,"CARRETERA 891 KM 15.1, BO PUEBLO, COROZAL, PR 00783",7878594443,Clinical Medical Laboratory,Clinical Medical Laboratory,Laboratories,18.3429735,-66.3128995
1609879857,HEALTHCARE PROVIDER INC.,"171 AVE WINSTON CHURCHILL, SAN JUAN, PR 00926",7872748110,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,18.367807047217,-66.063848782922
1174526321,"M&F MEDICAL EQUIPMENT, INC.","193 CALLE MORSE, ARROYO, PR 00714",7872711691,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,17.972391745914,-66.059403457562
1518960624,FARMACIA M&F,"CARR #3 KM 149.9, BO PUENTE DE JOBOS, GUAYAMA, PR 00784",7878648060,Pharmacy,Pharmacy,Suppliers,17.9587947,-66.1678751
1942203039,HATO REY HEMATOLOGY ONCOLOGY GROUP,"735 AVE PONCE DE LEON, STE 408, SAN JUAN, PR 00917",7877631788,Hematology & Oncology Physician,Internal Medicine,Allopathic & Osteopathic Physicians,18.409147512004,-66.053091627343
1831192988,"MD RADIOLOGICAL SERVICES, PSC","CARRETERA 891 KM 15.1, BO. PUEBLO, COROZAL, PR 00783",7878594443,Radiology Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,18.3429735,-66.3128995
1619970415,ADVANCED CARDIOLOGY CENTER,"AVE HOSTOS # 410 CARRETERA #2 CENTRO MEDICO, BO. SABALOS, MAYAGUEZ, PR 00682",7872653900,General Acute Care Hospital,General Acute Care Hospital,Hospitals,18.4352863,-66.5473457
