NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1528061553,DAYWEST HEALTHCARE SERVICES,"4285 HIGHLAND DR, SALT LAKE CITY, UT 84124",8012782839,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,40.678043727486,-111.842514018134
1992708945,"LIFE CARE AT HOME OF UTAH, INC.","2200 W PARKWAY BLVD, SUITE 200, SALT LAKE CITY, UT 84119",8019725802,Home Health Agency,Home Health,Agencies,40.712289268526,-111.950044021072
1366445397,"OPEN IMAGING, LC","6243 S REDWOOD RD, STE 130, TAYLORSVILLE, UT 84123",8012889671,Physiological Laboratory,Physiological Laboratory,Laboratories,40.637650712333,-111.938686267104
1174526107,"OPEN IMAGING-LAYTON, LLC","2071 N MAIN ST STE 100, LAYTON, UT 84041",8018254040,Physiological Laboratory,Physiological Laboratory,Laboratories,41.090583892115,-112.0025940857
1144223249,SPECIALTY NURSING SERVICES,"620 S 9500 E, HUNTSVILLE, UT 84317",8017322178,Clinical Medical Laboratory,Clinical Medical Laboratory,Laboratories,41.253155444218,-111.720729549211
1700889680,"ALLIANCE MEDICAL, INC.","146 E 13065 S, STE F, DRAPER, UT 84020",8015714333,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,40.514480694514,-111.888603612131
1609879493,"SUNSHINE TERRACE FOUNDATION, INC","248 W 300 N, LOGAN, UT 84321",4357520411,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.737183089461,-111.841311371523
1124021050,PAPPADAKIS ENTERPRISES,"125 S 900 W, SALT LAKE CITY, UT 84104",8013636340,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,40.766863037762,-111.916753107552
1710980354,ROCKY MOUNTAIN RETINA CONSULTANTS,"4400 S 700 E, STE 200, SALT LAKE CITY, UT 84107",8012644444,Ophthalmologic Surgery Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,40.675940388484,-111.871499327733
1457354755,WESTSIDE COMMUNITY NURSING CENTER,"876 W 700 S, SALT LAKE CITY, UT 84104",8013559649,Nursing Facility/Intermediate Care Facility,Nursing Facility/Intermediate Care Facility,Nursing & Custodial Care Facilities,40.754166261212,-111.916219086714
1861495160,MEDICAL CENTER PHARMACY INC,"1050 E SOUTH TEMPLE, SALT LAKE CITY, UT 84102",8013508140,Pharmacy,Pharmacy,Suppliers,40.769297663806,-111.860980115783
1689677932,DAYWEST HEALTHCARE SERVICES INC.,"3665 BRINKER AVE, OGDEN, UT 84403",8016272273,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,41.196471462991,-111.950239411973
1811990153,DAYWEST REHABILITATION LLC,"4578 HIGHLAND DR, STE 190, SALT LAKE CITY, UT 84117",8012725008,Rehabilitation Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,40.671945728241,-111.840896145342
1821090101,"DAYWEST HEALTHCARE SERVICES, INC.","1740 COMBE RD, STE 2, OGDEN, UT 84403",8885442626,Nursing Care Agency,Nursing Care,Agencies,41.161373539573,-111.938388975502
1619979986,BEE HIVE SKILLED CARE HOME LLC,"370 W 500 N, OREM, UT 84057",8012234344,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,40.306344295312,-111.704619734341
1689676892,HAVEN ASSOCIATES INC,"5292 COLLEGE DR, STE 304, MURRAY, UT 84123",8016766000,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,40.655719083913,-111.905100605013
1811991151,"UTAH NAVAJO HEALTH SYSTEM, INCORPORATED","1478 EAST HIGHWAY 162, MONTEZUMA CREEK, UT 84534",4356513766,Family Medicine Physician,Family Medicine,Allopathic & Osteopathic Physicians,37.2598014,-109.3035645
1538163936,ROCKY MTN EYE CARE ASSOCIATES LC,"4400 S 700 E, # 100, SALT LAKE CITY, UT 84107",8012644450,Ophthalmologic Surgery Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,40.675940388484,-111.871499327733
1306841606,SOUTHWEST UTAH PUBLIC HEALTH DEPT,"620 S 400 E STE 400, ST GEORGE, UT 84770",4356733528,Public Health or Welfare Agency,Public Health or Welfare,Agencies,37.09748599829,-113.574919381217
1972508091,"COMFORT CARE HOSPICE, LLC","728 E 2900 N, LEHI, UT 84043",8017664100,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,40.424916927525,-111.837562854286
1376548271,ASSOCIATED REGIONAL AND UNIVERSITY PATHOLOGISTS INC,"500 CHIPETA WAY, ATTN ACCOUNTS RECEIVABLE, SALT LAKE CITY, UT 84108",8002422787,Clinical Medical Laboratory,Clinical Medical Laboratory,Laboratories,40.759356760493,-111.824531059255
1700881505,"LIFE CARE AT HOME OF UTAH, INC.","2200 WEST PARKWAY BLVD, STE 200, SALT LAKE CITY, UT 84119",8019730217,Community Based Hospice Care Agency,"Hospice Care, Community Based",Agencies,40.712289268526,-111.950044021072
