NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1841293883,J KIM RADIOLOGY ASSOCIATES PA,"1 HOSPITAL DR, PETERSBURG, WV 26847",3042571026,Specialist,Specialist,Other Service Providers,39.00278669635,-79.137903879402
1528061645,"PLEASANT VALLEY HOSPITAL, INC","1011 VIAND STREET, POINT PLEASANT, WV 25550",3046757400,Home Health Agency,Home Health,Agencies,38.848657385563,-82.13637426241
1699778704,WEBSTER COUNTY MEMORIAL HOSPITAL,"324 MILLER MOUNTAIN DR, WEBSTER SPRINGS, WV 26288",3048475682,Critical Access Hospital,General Acute Care Hospital,Hospitals,38.4822632,-80.4106887
1083617823,"SHENANDOAH VALLEY MEDICAL SYSTEM, INC.","99 TAVERN RD, MARTINSBURG, WV 25401",3042634999,Federally Qualified Health Center (FQHC),Clinic/Center,Ambulatory Health Care Facilities,39.47281900848,-77.968692415718
1194728097,MARMET HEALTH CARE CENTER,"1 SUTPHIN DR, MARMET, WV 25315",3049491580,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,38.236314490399,-81.572039529054
1720081615,FAYETTE COMMUNITY HEALTH CARE,"422 23RD ST, OAK HILL, WV 25901",3044651903,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,37.988082614727,-81.127525572399
1992708770,GREENBRIER MEDICAL ARTS PHARMACY INC,"690 MAPLEWOOD AVE, LEWISBURG, WV 24901",3046475121,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,37.780150648558,-80.459985598122
1083617989,STONEWALL JACKSON MEMORIAL HOSPITAL,"456 SUITE B MARKET PLACE MALL, WESTON, WV 26452",3042694556,Home Health Agency,Home Health,Agencies,39.0196359,-80.4192936
1518960111,"GREENBRIER MEDICAL ARTS PHARMACY, INC.","335 S MAIN ST, UNION, WV 24983",3047725701,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,37.5910464,-80.54377989999999
1083617799,FOLLANSBEE PHARMACY INC,"651 COLLIERS WAY, SUITE 204, WEIRTON, WV 26062",3047236331,Long Term Care Pharmacy,Pharmacy,Suppliers,40.39389623773,-80.529467090539
1912900614,"GREENBRIER MEDICAL ARTS PHARMACY, INC","3558 JEFFERSON ST N STE 1, LEWISBURG, WV 24901",3046471377,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,37.831625982547,-80.418298027414
1942203443,"ASSOCIATED PATHOLOGISTS OF HUNTINGTON, INC.","2900 1ST AVE, HUNTINGTON, WV 25702",3045261081,Specialist,Specialist,Other Service Providers,38.431473135726,-82.40120413411
1861495335,CITY OF SISTERSVILLE,"314 S WELLS ST, SISTERSVILLE, WV 26175",3046522611,Critical Access Hospital,General Acute Care Hospital,Hospitals,39.558641435714,-81.003822850828
1326041914,"THE MAPLES HEALTH CARE, INC","1600 BLAND ST, BLUEFIELD, WV 24701",3043272485,Skilled Nursing Facility,Skilled Nursing Facility,Nursing & Custodial Care Facilities,37.258994612153,-81.219422918875
1093718538,REHABILITATION PRACTITIONERS INC,"1008 TAVERN RD, STE 302, MARTINSBURG, WV 25401",3042678050,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,39.4749402,-77.97169559999999
1104828243,BLUEFIELD PATHOLOGY ASSOCIATES INC,"500 CHERRY ST, BLUEFIELD, WV 24701",3043271586,Anatomic Pathology & Clinical Pathology Physician,Pathology,Allopathic & Osteopathic Physicians,37.256000477678,-81.234110022711
1114929304,AFFILIATED PHYSICAL THERAPY SERVICES INC,"2A CHERRY TREE DR, NUTTER FORT, WV 26301",3046225822,Physical Therapy Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,39.255836336699,-80.319723617075
1457355489,"FAMILY DISCOUNT PHARMACY OF STOLLINGS, INC","153 STOLLINGS AVE, LOGAN, WV 25601",3047520082,Pharmacy,Pharmacy,Suppliers,37.84115116294,-81.966024849559
