NPI,Provider Name,Full Address,Phone,Specialty,Specialty_Classification,Specialty_Grouping,Latitude,Longitude
1407859911,DEER CREEK DRUG,"215 SOUTH 4TH STREET, GLENROCK, WY 82637",3074369611,Pharmacy,Pharmacy,Suppliers,42.860238501577,-105.87220644198
1730183617,CENTRAL WYOMING COUNSELING CENTER,"1430 WILKINS CIR, CASPER, WY 82601",3072379583,Mental Illness Community Based Residential Treatment Facility,"Community Based Residential Treatment Facility, Mental Illness",Residential Treatment Facilities,42.865622001918,-106.341720683343
1336144617,SWEETWATER SURGERY CENTER LLC,"2761 COMMERCIAL WAY, ROCK SPRINGS, WY 82901",3073826873,Ambulatory Surgical Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,41.581981130485,-109.255417297749
1912903105,HIGH COUNTRY ORTHOTICS & PROSTHETICS,"135 S WASHINGTON ST., CASPER, WY 82601",3072344214,Prosthetic/Orthotic Supplier,Prosthetic/Orthotic Supplier,Suppliers,42.849463745269,-106.30952202672
1710983838,"FRONTIER ACCESS & MOBILITY SYSTEMS, INC","1207 E PERSHING BLVD, CHEYENNE, WY 82001",3076377663,Customized Equipment (DME),Durable Medical Equipment & Medical Supplies,Suppliers,41.145848081998,-104.805986921206
1194721050,"HIGH PLAINS SURGICAL ASSOCIATES, P.C.","3100 W LAKEWAY RD STE 1, GILLETTE, WY 82718",3076827555,Surgery Physician,Surgery,Allopathic & Osteopathic Physicians,44.27273315428,-105.542770589753
1003812694,FREMONT COUNSELING SERVICE,"748 MAIN ST, LANDER, WY 82520",3073322231,Substance Use Disorder Rehabilitation Clinic/Center,Clinic/Center,Ambulatory Health Care Facilities,42.835112625201,-108.74022298402
1164428710,Z-MED INC,"514 S GREELEY HWY, CHEYENNE, WY 82007",3076346662,Durable Medical Equipment & Medical Supplies,Durable Medical Equipment & Medical Supplies,Suppliers,41.112350659687,-104.801241391417
1811994122,"BCBU, INC.","175 RIVER VIEW DR STE A, GREEN RIVER, WY 82935",3078757976,Home Health Agency,Home Health,Agencies,41.51750756181,-109.470415074183
1437156809,"PAIN CONSULTANTS OF THE ROCKIES, PC","903 S GREELEY HWY, SUITE A, CHEYENNE, WY 82007",3076338100,Pain Medicine (Anesthesiology) Physician,Anesthesiology,Allopathic & Osteopathic Physicians,41.109515835671,-104.800529800374
